name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,loudness,mode,duration_minutes,key,album_name,year
100 Summers,Meek Mill,47,True,0.483,79.012,0.453,0.481,0.171,-8.174,Minor,2.7,E,Championships,2019
Wit the Shits (W.T.S) [feat. Melii],Meek Mill,45,True,0.814,146.99,0.709,0.756,0.00735,-5.398,Major,2.8,C,Championships,2019
Stuck in My Ways,Meek Mill,48,True,0.701,139.944,0.556,0.703,0.147,-4.764,Major,3.2,Csharp/Dflat,Championships,2019
Dangerous (feat. Jeremih and PnB Rock),Meek Mill,66,True,0.493,86.043,0.562,0.734,0.0467,-7.528,Major,3.9,C,Championships,2019
Cold Hearted II,Meek Mill,51,True,0.781,77.27,0.367,0.296,0.0377,-7.148,Major,5.0,Fsharp/Gflat,Championships,2019
Paranoid,Post Malone,68,False,0.536,159.914,0.253,0.625,0.038,-5.428,Major,3.7,C,beerbongs & bentleys,2019
Spoil My Night (feat. Swae Lee),Post Malone,68,True,0.717,160.981,0.225,0.672,0.341,-2.714,Major,3.2,Csharp/Dflat,beerbongs & bentleys,2019
Rich & Sad,Post Malone,69,True,0.571,151.974,0.285,0.599,0.198,-4.998,Major,3.4,D,beerbongs & bentleys,2019
Zack And Codeine,Post Malone,65,True,0.824,138.039,0.386,0.738,0.15,-5.165,Minor,3.4,F,beerbongs & bentleys,2019
Takin' Shots,Post Malone,63,True,0.621,120.056,0.593,0.762,0.61,-6.24,Major,3.6,C,beerbongs & bentleys,2019
rockstar (feat. 21 Savage),Post Malone,86,True,0.52,159.801,0.129,0.585,0.124,-6.136,Minor,3.6,F,beerbongs & bentleys,2019
Over Now,Post Malone,69,True,0.777,164.027,0.181,0.569,0.139,-4.041,Minor,4.1,E,beerbongs & bentleys,2019
Psycho (feat. Ty Dolla $ign),Post Malone,80,True,0.56,140.06,0.459,0.75,0.546,-8.094,Major,3.7,Gsharp/Aflat,beerbongs & bentleys,2019
Better Now,Post Malone,83,True,0.578,145.038,0.341,0.68,0.331,-5.804,Major,3.9,Asharp/Bflat,beerbongs & bentleys,2019
Ball For Me (feat. Nicki Minaj),Post Malone,69,True,0.55,134.206,0.543,0.797,0.513,-4.166,Major,3.4,A,beerbongs & bentleys,2019
Otherside,Post Malone,64,True,0.643,104.932,0.109,0.652,0.318,-5.667,Minor,3.8,A,beerbongs & bentleys,2019
Stay,Post Malone,77,True,0.48,86.046,0.35,0.507,0.449,-5.418,Major,3.4,F,beerbongs & bentleys,2019
Blame It On Me,Post Malone,64,False,0.591,121.873,0.274,0.652,0.145,-7.274,Minor,4.4,B,beerbongs & bentleys,2019
Same Bitches (feat. G-Eazy & YG),Post Malone,65,True,0.774,100.005,0.219,0.731,0.434,-5.273,Minor,3.5,Asharp/Bflat,beerbongs & bentleys,2019
Jonestown (Interlude),Post Malone,59,False,0.454,77.592,0.288,0.38,0.755,-10.271,Minor,1.9,C,beerbongs & bentleys,2019
92 Explorer,Post Malone,73,True,0.733,146.046,0.861,0.798,0.265,-4.811,Minor,3.5,G,beerbongs & bentleys,2019
Candy Paint,Post Malone,78,True,0.667,180.064,0.381,0.664,0.64,-5.941,Major,3.8,E,beerbongs & bentleys,2019
Sugar Wraith,Post Malone,65,True,0.775,164.02,0.307,0.606,0.262,-4.269,Minor,3.8,F,beerbongs & bentleys,2019
If We Have Each Other,Alec Benjamin,79,False,0.577,173.094,0.861,0.656,0.698,-5.566,Minor,3.0,Asharp/Bflat,Narrated For You,2019
Water Fountain,Alec Benjamin,78,False,0.504,133.975,0.551,0.723,0.388,-5.572,Major,3.6,Gsharp/Aflat,Narrated For You,2019
Annabelle's Homework,Alec Benjamin,56,False,0.634,86.004,0.33,0.676,0.701,-5.377,Major,3.2,Gsharp/Aflat,Narrated For You,2019
Let Me Down Slowly,Alec Benjamin,88,False,0.557,150.073,0.483,0.652,0.74,-5.714,Minor,2.8,Csharp/Dflat,Narrated For You,2019
Swim,Alec Benjamin,57,False,0.562,160.051,0.532,0.737,0.289,-6.117,Minor,2.4,B,Narrated For You,2019
Boy In The Bubble,Alec Benjamin,70,False,0.578,143.982,0.851,0.817,0.224,-7.579,Minor,3.0,B,Narrated For You,2019
Steve,Alec Benjamin,53,False,0.353,80.558,0.866,0.348,0.845,-9.012,Major,2.9,Asharp/Bflat,Narrated For You,2019
Gotta Be A Reason,Alec Benjamin,59,False,0.518,79.997,0.277,0.771,0.806,-7.582,Minor,3.5,E,Narrated For You,2019
Outrunning Karma,Alec Benjamin,68,False,0.649,112.482,0.474,0.416,0.655,-5.271,Minor,3.1,B,Narrated For You,2019
If I Killed Someone For You,Alec Benjamin,73,False,0.605,120.894,0.409,0.514,0.774,-5.363,Major,3.1,G,Narrated For You,2019
Death Of A Hero,Alec Benjamin,54,False,0.62,179.8,0.584,0.653,0.634,-5.797,Major,3.2,B,Narrated For You,2019
1994,Alec Benjamin,55,False,0.613,87.022,0.862,0.772,0.281,-6.185,Major,3.1,Gsharp/Aflat,Narrated For You,2019
Strike a Pose (feat. Aitch),Young T & Bugsey,58,True,0.581,137.776,0.591,0.531,0.0107,-5.801,Major,3.6,Csharp/Dflat,Strike a Pose (feat. Aitch),2019
Never Really Over,Katy Perry,72,False,0.882,99.991,0.385,0.77,0.194,-4.792,Major,3.7,Gsharp/Aflat,Never Really Over,2019
Baby Come Back to Me,Kane Brown,46,False,0.812,81.062,0.484,0.538,0.0193,-5.776,Major,3.8,G,Experiment Extended,2019
Good as You,Kane Brown,67,False,0.516,153.653,0.769,0.626,0.4,-6.05,Major,3.2,Gsharp/Aflat,Experiment Extended,2019
Lose It,Kane Brown,65,False,0.854,91.967,0.436,0.545,0.00244,-4.968,Minor,3.0,E,Experiment Extended,2019
It Ain't You It's Me,Kane Brown,43,False,0.683,145.968,0.44,0.487,0.0322,-5.827,Minor,3.2,Asharp/Bflat,Experiment Extended,2019
Short Skirt Weather,Kane Brown,62,False,0.893,128.044,0.944,0.699,0.0626,-5.412,Major,3.2,A,Experiment Extended,2019
Homesick,Kane Brown,67,False,0.5,97.028,0.409,0.701,0.46,-8.82,Major,3.4,Gsharp/Aflat,Experiment Extended,2019
Weekend,Kane Brown,47,False,0.726,80.013,0.773,0.641,0.356,-6.298,Major,3.8,E,Experiment Extended,2019
Work,Kane Brown,45,False,0.5,82.954,0.434,0.596,0.584,-8.701,Major,3.1,D,Experiment Extended,2019
One Night Only,Kane Brown,43,False,0.595,77.996,0.686,0.649,0.164,-6.214,Minor,3.2,Fsharp/Gflat,Experiment Extended,2019
My Where I Come From,Kane Brown,41,False,0.872,105.045,0.535,0.574,0.0628,-5.733,Major,3.0,Gsharp/Aflat,Experiment Extended,2019
American Bad Dream,Kane Brown,42,False,0.771,140.196,0.609,0.579,0.03,-5.497,Minor,3.3,Asharp/Bflat,Experiment Extended,2019
Live Forever,Kane Brown,49,False,0.392,106.992,0.347,0.709,0.687,-8.186,Major,3.1,E,Experiment Extended,2019
Lost in the Middle of Nowhere (feat. Becky G),Kane Brown,54,False,0.754,85.993,0.438,0.559,0.00184,-5.344,Minor,3.1,Fsharp/Gflat,Experiment Extended,2019
Like a Rodeo,Kane Brown,61,False,0.661,119.985,0.425,0.67,0.704,-6.798,Minor,3.4,Dsharp/Eflat,Experiment Extended,2019
For My Daughter,Kane Brown,57,False,0.561,139.939,0.35,0.537,0.275,-8.09,Major,3.7,Csharp/Dflat,Experiment Extended,2019
Footsteps (feat. Musiq Soulchild),Kehlani,50,False,0.638,88.546,0.478,0.42,0.817,-4.212,Major,4.6,D,While We Wait,2019
Too Deep,Kehlani,49,True,0.638,180.216,0.642,0.516,0.614,-6.673,Minor,2.8,G,While We Wait,2019
Nunya (feat. Dom Kennedy),Kehlani,56,True,0.71,97.98,0.574,0.675,0.39,-4.027,Major,4.1,Csharp/Dflat,While We Wait,2019
Morning Glory,Kehlani,46,False,0.833,172.037,0.653,0.589,0.0158,-4.494,Minor,3.0,C,While We Wait,2019
Feels,Kehlani,64,True,0.609,80.362,0.381,0.369,0.259,-4.477,Minor,3.0,A,While We Wait,2019
Nights Like This (feat. Ty Dolla $ign),Kehlani,78,True,0.725,146.163,0.291,0.61,0.367,-5.131,Major,3.4,Gsharp/Aflat,While We Wait,2019
RPG (feat. 6lack),Kehlani,54,False,0.534,132.94,0.719,0.758,0.402,-7.368,Minor,3.9,G,While We Wait,2019
Butterfly,Kehlani,44,False,0.345,79.107,0.701,0.583,0.886,-8.044,Minor,2.7,F,While We Wait,2019
Love Language,Kehlani,51,False,0.586,89.599,0.698,0.582,0.124,-4.369,Minor,3.6,Csharp/Dflat,While We Wait,2019
Omertà,Drake,59,True,0.899,164.119,0.685,0.646,0.0337,-2.232,Major,3.7,Fsharp/Gflat,The Best In The World Pack,2019
Money In The Grave (Drake ft. Rick Ross),Drake,79,True,0.502,100.541,0.101,0.831,0.101,-4.045,Minor,3.4,Asharp/Bflat,The Best In The World Pack,2019
One Thing Right,Marshmello,74,False,0.625,88.042,0.442,0.659,0.0644,-2.253,Major,3.0,E,One Thing Right,2019
Rare,Selena Gomez,65,False,0.545,114.998,0.631,0.838,0.208,-6.713,Major,3.7,F,Rare,2019
Dance Again,Selena Gomez,56,False,0.552,111.984,0.465,0.784,0.0447,-7.261,Minor,2.8,Csharp/Dflat,Rare,2019
Look At Her Now,Selena Gomez,66,False,0.564,77.342,0.55,0.753,0.114,-7.908,Minor,2.7,Asharp/Bflat,Rare,2019
Lose You To Love Me,Selena Gomez,83,False,0.343,102.819,0.0978,0.488,0.556,-8.985,Major,3.4,E,Rare,2019
Ring,Selena Gomez,66,False,0.51,110.953,0.871,0.873,0.565,-5.35,Minor,2.5,Dsharp/Eflat,Rare,2019
Vulnerable,Selena Gomez,57,False,0.573,100.031,0.38,0.695,0.132,-8.882,Major,3.2,Asharp/Bflat,Rare,2019
People You Know,Selena Gomez,80,False,0.62,150.032,0.62,0.695,0.0881,-8.082,Minor,3.2,Gsharp/Aflat,Rare,2019
Let Me Get Me,Selena Gomez,60,False,0.571,121.06,0.475,0.826,0.249,-9.263,Major,3.2,D,Rare,2019
Crowded Room (feat. 6LACK),Selena Gomez,56,False,0.415,89.999,0.328,0.724,0.764,-8.408,Minor,3.1,G,Rare,2019
Kinda Crazy,Selena Gomez,51,False,0.446,93.03,0.534,0.691,0.484,-10.304,Minor,3.5,B,Rare,2019
Fun,Selena Gomez,48,False,0.419,113.866,0.523,0.863,0.076,-10.144,Minor,3.2,B,Rare,2019
Cut You Off,Selena Gomez,52,True,0.294,139.745,0.842,0.855,0.3,-8.676,Major,3.0,F,Rare,2019
A Sweeter Place (feat. Kid Cudi),Selena Gomez,52,False,0.777,190.054,0.31,0.583,0.109,-6.991,Minor,4.4,Asharp/Bflat,Rare,2019
Intro,Flipp Dinero,31,True,0.615,86.038,0.612,0.829,0.0245,-8.633,Minor,2.8,Gsharp/Aflat,LOVE FOR GUALA,2019
How I Move (feat. Lil Baby),Flipp Dinero,62,True,0.635,119.954,0.808,0.826,0.102,-5.181,Minor,3.7,F,LOVE FOR GUALA,2019
Fritolays (feat. Jay Critch),Flipp Dinero,36,True,0.538,122.98,0.588,0.948,0.0212,-7.527,Minor,3.8,Asharp/Bflat,LOVE FOR GUALA,2019
Looking At Me (feat. Rich The Kid),Flipp Dinero,46,True,0.612,95.982,0.443,0.78,0.0566,-4.469,Minor,3.5,B,LOVE FOR GUALA,2019
If I Tell You,Flipp Dinero,41,True,0.867,161.966,0.414,0.711,0.152,-1.981,Minor,3.6,B,LOVE FOR GUALA,2019
Shawty Do You,Flipp Dinero,29,True,0.677,82.51,0.466,0.772,0.0082,-6.109,Minor,3.2,Asharp/Bflat,LOVE FOR GUALA,2019
Take A Lil' Time,Flipp Dinero,30,True,0.426,95.528,0.077,0.859,0.466,-5.913,Minor,3.0,F,LOVE FOR GUALA,2019
Not Too Many,Flipp Dinero,29,True,0.659,130.027,0.64,0.906,0.00454,-5.801,Major,2.9,A,LOVE FOR GUALA,2019
Westside,Flipp Dinero,46,True,0.707,179.971,0.45,0.812,0.0571,-5.014,Minor,3.7,Gsharp/Aflat,LOVE FOR GUALA,2019
Hills,Flipp Dinero,29,True,0.497,121.999,0.517,0.846,0.0509,-7.27,Major,2.6,Csharp/Dflat,LOVE FOR GUALA,2019
Perry,Flipp Dinero,27,True,0.718,160.088,0.367,0.791,0.0845,-7.589,Minor,2.8,Asharp/Bflat,LOVE FOR GUALA,2019
Leave Me Alone,Flipp Dinero,72,True,0.743,150.024,0.742,0.792,0.107,-2.806,Major,3.3,G,LOVE FOR GUALA,2019
Till im Gone (feat. Kodak Black),Flipp Dinero,43,True,0.724,177.914,0.255,0.635,0.183,-3.229,Major,3.8,Fsharp/Gflat,LOVE FOR GUALA,2019
Butterfly Effect,DJ Snake,40,False,0.644,149.822,0.0387,0.224,0.00407,-7.276,Minor,3.4,F,Carte Blanche,2019
Quiet Storm (with Zomboy),DJ Snake,46,False,0.985,150.069,0.358,0.562,0.00124,-1.869,Major,3.8,Csharp/Dflat,Carte Blanche,2019
When The Lights Go Down,DJ Snake,40,False,0.952,159.996,0.59,0.595,0.0269,-1.892,Minor,3.9,F,Carte Blanche,2019
Recognize (feat. Majid Jordan),DJ Snake,38,False,0.681,113.966,0.431,0.735,0.244,-7.655,Major,3.6,Gsharp/Aflat,Carte Blanche,2019
No More (feat. ZHU),DJ Snake,50,True,0.716,120.046,0.563,0.809,0.0175,-8.434,Minor,2.8,E,Carte Blanche,2019
"Made In France (with Tchami & Malaa, feat. Mercer)",DJ Snake,51,False,0.949,126.007,0.506,0.836,0.00295,-4.127,Minor,4.2,B,Carte Blanche,2019
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",DJ Snake,54,True,0.726,119.963,0.181,0.785,0.0739,-4.209,Major,4.1,D,Carte Blanche,2019
Smile (feat. Bryson Tiller),DJ Snake,41,True,0.82,160.055,0.538,0.402,0.142,-1.887,Minor,3.3,F,Carte Blanche,2019
Try Me (with Plastic Toy),DJ Snake,49,False,0.703,102.289,0.193,0.68,0.839,-3.36,Minor,3.3,G,Carte Blanche,2019
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,77,False,0.758,192.091,0.371,0.694,0.278,-2.986,Major,3.1,B,Carte Blanche,2019
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,75,True,0.801,95.881,0.617,0.842,0.157,-4.167,Minor,3.5,Gsharp/Aflat,Carte Blanche,2019
"Fuego (with Sean Paul & Anitta, feat. Tainy)",DJ Snake,60,False,0.859,104.906,0.612,0.819,0.0244,-6.264,Major,3.3,Gsharp/Aflat,Carte Blanche,2019
Magenta Riddim,DJ Snake,65,False,0.892,102.047,0.57,0.602,0.000393,-3.66,Minor,3.2,Asharp/Bflat,Carte Blanche,2019
Frequency 75,DJ Snake,45,False,0.774,108.023,0.125,0.664,0.0039,-8.961,Major,4.4,Csharp/Dflat,Carte Blanche,2019
SouthSide (feat. Eptic),DJ Snake,45,False,0.94,149.959,0.555,0.571,0.0114,-3.637,Major,4.2,Csharp/Dflat,Carte Blanche,2019
No Option (feat. Burna Boy),DJ Snake,44,True,0.877,150.162,0.876,0.631,0.00837,-4.072,Minor,3.1,F,Carte Blanche,2019
Paris (feat. GASHI),DJ Snake,44,False,0.624,128.045,0.231,0.621,0.226,-6.745,Minor,3.8,Asharp/Bflat,Carte Blanche,2019
Lost Files,Polo G,57,True,0.723,145.067,0.397,0.809,0.335,-6.145,Major,2.0,Csharp/Dflat,Die A Legend,2019
Dyin Breed,Polo G,62,True,0.599,159.966,0.427,0.77,0.0131,-8.663,Minor,3.0,D,Die A Legend,2019
Through Da Storm,Polo G,74,True,0.49,74.351,0.621,0.71,0.128,-9.832,Major,3.3,Csharp/Dflat,Die A Legend,2019
Effortless,Polo G,58,True,0.445,157.153,0.399,0.792,0.00256,-7.871,Minor,2.9,Asharp/Bflat,Die A Legend,2019
Pop Out (feat. Lil Tjay),Polo G,80,True,0.639,168.112,0.261,0.772,0.15,-7.119,Major,2.8,Csharp/Dflat,Die A Legend,2019
Battle Cry,Polo G,58,True,0.597,150.089,0.347,0.754,0.212,-7.809,Major,3.2,G,Die A Legend,2019
BST,Polo G,57,True,0.603,143.043,0.633,0.876,0.0188,-9.148,Minor,3.4,F,Die A Legend,2019
Finer Things,Polo G,68,True,0.45,177.978,0.131,0.506,0.0683,-12.565,Major,3.0,D,Die A Legend,2019
Picture This,Polo G,56,True,0.604,87.955,0.406,0.831,0.0316,-6.741,Major,2.8,C,Die A Legend,2019
Chosen 1,Polo G,76,True,0.576,166.162,0.364,0.77,0.138,-11.845,Minor,2.1,Gsharp/Aflat,Die A Legend,2019
Deep Wounds,Polo G,63,True,0.572,159.961,0.339,0.661,0.0149,-7.101,Major,3.0,Csharp/Dflat,Die A Legend,2019
Last Strike,Polo G,53,True,0.594,81.539,0.477,0.579,0.0249,-8.461,Major,3.3,D,Die A Legend,2019
A King's Nightmare,Polo G,50,True,0.728,81.193,0.321,0.463,0.156,-7.994,Minor,2.8,Csharp/Dflat,Die A Legend,2019
Pop Out Again (feat. Lil Baby & Gunna),Polo G,60,True,0.689,83.964,0.364,0.862,0.118,-5.68,Major,3.7,Csharp/Dflat,Die A Legend,2019
High Expectations - Intro,Mabel,26,False,0.371,64.894,0.1,0.186,0.335,-9.104,Major,1.5,B,High Expectations,2019
Bad Behaviour,Mabel,43,False,0.806,106.999,0.41,0.79,0.00479,-4.342,Major,3.4,C,High Expectations,2019
Don't Call Me Up,Mabel,39,False,0.872,98.891,0.261,0.684,0.31,-2.85,Major,3.0,A,High Expectations,2019
FML,Mabel,29,True,0.828,107.925,0.445,0.582,0.0215,-1.982,Major,3.2,F,High Expectations,2019
We Don't Say...,Mabel,31,False,0.833,92.519,0.766,0.737,0.245,-6.368,Major,3.2,C,High Expectations,2019
Selfish Love (with Kamille),Mabel,41,False,0.744,107.005,0.33,0.689,0.435,-5.836,Minor,3.2,A,High Expectations,2019
Lucky - Interlude,Mabel,29,False,0.421,169.31,0.156,0.349,0.36,-8.199,Minor,1.2,D,High Expectations,2019
Mad Love,Mabel,67,False,0.796,197.524,0.607,0.623,0.659,-2.981,Minor,2.8,C,High Expectations,2019
Trouble,Mabel,30,False,0.699,156.001,0.649,0.671,0.057,-4.14,Major,3.5,F,High Expectations,2019
Put Your Name On It,Mabel,34,False,0.724,105.448,0.531,0.655,0.252,-4.466,Major,3.7,C,High Expectations,2019
Stckhlm Syndrome - Interlude,Mabel,26,True,0.573,107.954,0.464,0.724,0.0457,-5.492,Major,2.4,Csharp/Dflat,High Expectations,2019
OK (Anxiety Anthem),Mabel,50,False,0.79,99.086,0.499,0.674,0.269,-3.857,Minor,3.6,Gsharp/Aflat,High Expectations,2019
I Belong To Me,Mabel,26,True,0.525,80.098,0.0905,0.497,0.699,-6.019,Major,2.6,Csharp/Dflat,High Expectations,2019
High Expectations - Outro,Mabel,22,False,0.399,134.179,0.134,0.313,0.523,-8.216,Major,2.4,B,High Expectations,2019
Boyfriend,Mabel,56,False,0.848,99.977,0.691,0.795,0.0569,-3.128,Major,3.8,G,High Expectations,2019
Finders Keepers (feat. Kojo Funds),Mabel,28,False,0.583,108.038,0.619,0.834,0.0415,-6.531,Minor,4.5,E,High Expectations,2019
Fine Line (with Not3s),Mabel,26,True,0.619,76.658,0.94,0.72,0.237,-4.95,Minor,3.5,Dsharp/Eflat,High Expectations,2019
Ring Ring (with Jax Jones feat. Rich The Kid),Jax Jones,25,True,0.649,106.709,0.624,0.703,0.185,-4.877,Minor,3.6,Csharp/Dflat,High Expectations,2019
Cigarette (with RAYE & Stefflon Don),RAYE,23,True,0.691,115.025,0.579,0.816,0.106,-4.665,Major,3.1,D,High Expectations,2019
Not Sayin',Mabel,27,False,0.795,110.02,0.864,0.709,0.0059,-4.195,Minor,3.7,Asharp/Bflat,High Expectations,2019
God Is A Dancer (Tiësto & Mabel),Tiësto,34,False,0.749,119.995,0.815,0.79,0.0322,-3.915,Minor,2.8,Csharp/Dflat,High Expectations,2019
Intro (feat. 1takejay),Mustard,51,True,0.503,102.042,0.259,0.917,0.0792,-8.389,Major,1.9,Csharp/Dflat,Perfect Ten,2019
Pure Water (with Migos),Mustard,76,True,0.559,202.015,0.137,0.682,0.174,-5.545,Major,3.2,C,Perfect Ten,2019
On GOD (with YG & Tyga feat. A$AP Ferg & A$AP Rocky),Mustard,51,True,0.676,103.998,0.339,0.857,0.218,-5.359,Major,4.4,Csharp/Dflat,Perfect Ten,2019
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,68,True,0.525,99.978,0.312,0.883,0.189,-8.054,Minor,2.9,D,Perfect Ten,2019
Interstate 10 (feat. Future),Mustard,47,True,0.489,101.985,0.0676,0.83,0.167,-7.212,Major,3.3,D,Perfect Ten,2019
"100 Bands (feat. Quavo, YG & Meek Mill)",Mustard,41,True,0.486,92.976,0.126,0.86,0.00755,-6.533,Minor,2.3,Csharp/Dflat,Perfect Ten,2019
Woah Woah (feat. Young Thug & Gunna),Mustard,48,True,0.486,91.99,0.204,0.775,0.357,-7.12,Minor,3.9,Fsharp/Gflat,Perfect Ten,2019
Surface,Mustard,48,True,0.475,89.554,0.482,0.425,0.129,-7.57,Minor,3.2,F,Perfect Ten,2019
Ballin' (with Roddy Ricch),Mustard,82,True,0.545,97.008,0.244,0.809,0.392,-6.678,Major,3.0,G,Perfect Ten,2019
Perfect Ten (feat. Nipsey Hussle),Mustard,56,True,0.437,99.948,0.228,0.683,0.781,-9.267,Minor,4.2,F,Perfect Ten,2019
Voices in My Head,A Boogie Wit da Hoodie,56,True,0.663,90.195,0.207,0.754,0.0555,-6.311,Minor,2.4,Fsharp/Gflat,Hoodie SZN,2019
Beasty,A Boogie Wit da Hoodie,56,True,0.418,126.023,0.374,0.86,0.292,-9.061,Minor,2.5,G,Hoodie SZN,2019
I Did It,A Boogie Wit da Hoodie,51,True,0.454,89.483,0.196,0.718,0.153,-9.012,Major,3.6,Gsharp/Aflat,Hoodie SZN,2019
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,76,True,0.662,93.023,0.434,0.581,0.0153,-5.239,Major,3.2,A,Hoodie SZN,2019
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,65,True,0.622,191.971,0.506,0.736,0.0235,-4.653,Minor,3.2,Fsharp/Gflat,Hoodie SZN,2019
Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie,69,True,0.55,76.503,0.183,0.81,0.0114,-7.46,Minor,3.6,D,Hoodie SZN,2019
Love Drugs and Sex,A Boogie Wit da Hoodie,68,True,0.553,119.973,0.773,0.762,0.55,-7.207,Minor,2.6,F,Hoodie SZN,2019
Skeezers,A Boogie Wit da Hoodie,64,True,0.484,140.019,0.353,0.792,0.558,-7.801,Minor,3.3,G,Hoodie SZN,2019
Savage,A Boogie Wit da Hoodie,56,True,0.402,160.046,0.483,0.78,0.188,-9.255,Minor,2.8,F,Hoodie SZN,2019
Come Closer (feat. Queen Naija),A Boogie Wit da Hoodie,62,True,0.556,140.056,0.616,0.741,0.22,-6.647,Minor,2.6,G,Hoodie SZN,2019
Look Back at It,A Boogie Wit da Hoodie,78,True,0.587,96.057,0.536,0.791,0.407,-5.075,Minor,3.0,Dsharp/Eflat,Hoodie SZN,2019
Just Like Me (feat. Young Thug),A Boogie Wit da Hoodie,67,True,0.623,128.661,0.393,0.774,0.156,-7.871,Major,3.7,F,Hoodie SZN,2019
Bosses and Workers (feat. Don Q and Trap Manny),A Boogie Wit da Hoodie,50,True,0.605,130.027,0.591,0.842,0.358,-6.293,Minor,3.5,Csharp/Dflat,Hoodie SZN,2019
Need a Best Friend (feat. Lil Quee and Quando Rondo),A Boogie Wit da Hoodie,49,True,0.52,165.105,0.359,0.696,0.06,-6.361,Major,3.4,C,Hoodie SZN,2019
The Reaper,A Boogie Wit da Hoodie,52,True,0.61,141.955,0.479,0.761,0.379,-7.039,Major,2.9,Fsharp/Gflat,Hoodie SZN,2019
Uptown / Bustdown (feat. PnB Rock and Lil Durk),A Boogie Wit da Hoodie,51,True,0.751,90.04,0.324,0.503,0.215,-5.785,Minor,3.0,Fsharp/Gflat,Hoodie SZN,2019
Billie Jean,A Boogie Wit da Hoodie,52,True,0.536,139.961,0.375,0.83,0.0919,-6.324,Minor,2.3,E,Hoodie SZN,2019
4 Min Convo (Favorite Song),A Boogie Wit da Hoodie,59,True,0.65,91.053,0.658,0.705,0.359,-5.654,Minor,4.3,G,Hoodie SZN,2019
Odee,A Boogie Wit da Hoodie,58,True,0.48,86.049,0.293,0.854,0.208,-7.388,Minor,2.7,A,Hoodie SZN,2019
Pull Up (feat. NAV),A Boogie Wit da Hoodie,50,True,0.37,149.95,0.557,0.828,0.487,-7.446,Minor,3.2,G,Hoodie SZN,2019
Don’t Feel Like Crying,Sigrid,46,False,0.814,119.964,0.715,0.749,0.156,-3.769,Minor,2.6,F,Don't Feel Like Crying,2019
