id,name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,instrumentalness,loudness,mode,speechiness,duration_ms,key,album_name,year
3DnZfpfe8wLeJgzc00gKeW,On Me (feat. Cardi B),Meek Mill,51,True,0.666,132.12,0.538,0.864,0.0482,0,-5.525,1,0.234,225008,1,Championships,2019
4iQ5gmTAzWfK8JyFC2LBox,What's Free (feat. Rick Ross & Jay Z),Meek Mill,53,True,0.718,166.42,0.267,0.511,0.000322,0,-6.293,0,0.404,362839,11,Championships,2019
6pUBrvKfJL4qmn95mxU7rC,Respect the Game,Meek Mill,59,True,0.67,89.842,0.159,0.603,0.0871,0,-4.809,1,0.25,192099,2,Championships,2019
6cPnE82DKBLd7sg02ZNg8K,"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",Meek Mill,48,True,0.703,163.06,0.331,0.766,0.00807,0,-5.877,0,0.163,168495,10,Championships,2019
5DTOk0tCrmicVQP4mc6hkr,Championships,Meek Mill,52,True,0.803,167.329,0.319,0.488,0.0786,0,-4.165,0,0.205,261743,6,Championships,2019
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),Meek Mill,81,True,0.496,86.003,0.544,0.889,0.259,0,-6.365,0,0.0905,180522,4,Championships,2019
1bx4Jw8A7GQtImIQGccI6D,Almost Slipped,Meek Mill,47,True,0.651,164.213,0.46,0.49,0.246,0,-6.24,1,0.251,246793,8,Championships,2019
35J4wXQeRuHNOEArMy6FOe,Tic Tac Toe (feat. Kodak Black),Meek Mill,51,True,0.72,150.039,0.285,0.821,0.00902,7.07e-06,-4.606,0,0.222,185261,10,Championships,2019
6irE4Fbjbry3czv7mTxVSB,24/7 (feat. Ella Mai),Meek Mill,61,True,0.711,86.957,0.368,0.657,0.0135,0,-5.355,1,0.374,221522,0,Championships,2019
0jqLv5PuEUA0GthFjdtlS1,Oodles O' Noodles Babies,Meek Mill,48,True,0.836,72.099,0.584,0.609,0.593,0,-3.442,0,0.264,181274,4,Championships,2019
0UNeNA0dcfUMsGxvLwf2p3,Pay You Back (feat. 21 Savage),Meek Mill,50,True,0.694,85.047,0.23,0.821,0.03,0,-5.169,1,0.229,235263,9,Championships,2019
3gHLXLJ9JE1oOayo3ar4E5,100 Summers,Meek Mill,47,True,0.483,79.012,0.453,0.481,0.171,0,-8.174,0,0.331,163834,4,Championships,2019
4Kdu9AlfQyu0o6r2ozCMTc,Wit the Shits (W.T.S) [feat. Melii],Meek Mill,45,True,0.814,146.99,0.709,0.756,0.00735,0,-5.398,1,0.0416,170539,0,Championships,2019
0UOF9AAyS8H9iCWmePj29w,Stuck in My Ways,Meek Mill,48,True,0.701,139.944,0.556,0.703,0.147,0,-4.764,1,0.159,191486,1,Championships,2019
3lb5fWSG2p7x8ik8HN9oFR,Dangerous (feat. Jeremih and PnB Rock),Meek Mill,66,True,0.493,86.043,0.562,0.734,0.0467,0,-7.528,1,0.308,233750,0,Championships,2019
75ld9n7watXCD0nHnE931J,Cold Hearted II,Meek Mill,51,True,0.781,77.27,0.367,0.296,0.0377,0,-7.148,1,0.451,301870,6,Championships,2019
3fpVWegR6YOS1Yk5HSMYIq,Paranoid,Post Malone,68,False,0.536,159.914,0.253,0.625,0.038,2.31e-05,-5.428,1,0.0776,221787,0,beerbongs & bentleys,2019
5VuxWXbt7XENQCtE9TzpTv,Spoil My Night (feat. Swae Lee),Post Malone,68,True,0.717,160.981,0.225,0.672,0.341,2.4e-05,-2.714,1,0.034,194560,1,beerbongs & bentleys,2019
2VdT56BGpdqNHUgOe1j5vc,Rich & Sad,Post Malone,69,True,0.571,151.974,0.285,0.599,0.198,0,-4.998,1,0.0665,206453,2,beerbongs & bentleys,2019
5lZZmityu9TAjNvSY6GLhR,Zack And Codeine,Post Malone,65,True,0.824,138.039,0.386,0.738,0.15,0,-5.165,0,0.0437,204360,5,beerbongs & bentleys,2019
