id,name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,instrumentalness,loudness,mode,speechiness,duration_ms,key,album_name,year
4WbO3H3wFGUdrngpMMs4sF,Water Me,Lizzo,58,False,0.966,113.046,0.77,0.67,0.0292,0,-1.994,0,0.177,185595,3,Cuz I Love You (Super Deluxe),2019
6KgBpzTuTRPebChN0VTyzV,Good as Hell,Lizzo,76,False,0.919,95.982,0.535,0.682,0.256,0,-3.18,0,0.0875,159736,0,Cuz I Love You (Super Deluxe),2019
2rjjNUYONZqC7wSd1i6OFq,Good as Hell (feat. Ariana Grande),Lizzo,63,False,0.892,95.927,0.478,0.668,0.298,0,-3.001,0,0.0645,159011,5,Cuz I Love You (Super Deluxe),2019
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,75,False,0.52,102.998,0.347,0.741,0.45,1.97e-06,-7.513,1,0.0656,171030,8,Dancing With A Stranger (with Normani),2019
17moZfj5Aj64AvQSZTQda5,Angels,Tom Walker,45,False,0.689,160.949,0.735,0.583,0.301,0,-6.056,0,0.0779,208985,9,What a Time To Be Alive,2019
4iVVU8DyQvOVsKafv3KWIF,Leave a Light On,Tom Walker,71,False,0.625,68.68,0.28,0.585,0.0146,1.8e-06,-5.94,1,0.109,185863,5,What a Time To Be Alive,2019
3dv1R3JLvC1ZNhWHKBYDTk,Not Giving In,Tom Walker,47,False,0.724,159.961,0.485,0.471,0.632,0,-7.174,0,0.0873,228921,2,What a Time To Be Alive,2019
2GqmEB1nvaeimGCPiTxiWY,How Can You Sleep at Night?,Tom Walker,42,False,0.708,155.418,0.317,0.446,0.147,0,-8.38,0,0.0693,216212,1,What a Time To Be Alive,2019
2oVoSgGAlog02WQ2pLCxcT,Now You're Gone (feat. Zara Larsson),Tom Walker,50,False,0.721,101.503,0.233,0.644,0.629,7.52e-05,-8.495,0,0.431,212142,9,What a Time To Be Alive,2019
5e3vokINVx2oxBaEDPvhig,My Way,Tom Walker,40,False,0.682,75.004,0.264,0.59,0.0184,0,-5.646,1,0.0483,236249,8,What a Time To Be Alive,2019
6yD3n3LtoOPRi3lw1UW5Rx,Blessings,Tom Walker,41,False,0.507,79.285,0.572,0.53,0.798,3.99e-06,-6.766,1,0.102,200177,9,What a Time To Be Alive,2019
6MMeRmARHA1XQ8KE0t8qGY,Cry Out,Tom Walker,35,False,0.666,66.969,0.455,0.613,0.161,0,-8.259,0,0.0526,205631,8,What a Time To Be Alive,2019
5oqRk7bDgrJu2WKWn1M9g9,Dominoes,Tom Walker,33,False,0.611,160.07,0.644,0.6,0.0218,0,-6.445,0,0.0415,243930,2,What a Time To Be Alive,2019
2ACoyK6t8MYwWI3G0WTV6r,Fade Away,Tom Walker,35,False,0.267,133.274,0.151,0.414,0.825,0,-9.58,0,0.0306,283989,0,What a Time To Be Alive,2019
1vkUmedJVhScV9MmRsLGSY,Just You and I - Acoustic,Tom Walker,64,False,0.52,171.895,0.383,0.477,0.679,4.34e-06,-7.582,1,0.395,198102,9,What a Time To Be Alive,2019
6eVdSa13MsnpSYeGRDIdJx,The Show,Tom Walker,32,False,0.501,81.907,0.269,0.68,0.527,0,-8.669,1,0.0839,289913,6,What a Time To Be Alive,2019
3ufz3mIRCz1T84G4sXySk7,Walk Alone (feat. Tom Walker),Rudimental,35,False,0.714,94.018,0.557,0.586,0.161,0,-5.003,1,0.038,206508,11,What a Time To Be Alive,2019
03x2rVJRFUrvwlfxoHd9Mo,Just You and I,Tom Walker,68,False,0.696,92.061,0.544,0.567,0.456,0,-5.416,1,0.301,174983,9,What a Time To Be Alive,2019
6ZEYvUSgON3J5Qe1RYi3Jo,Peace Of Mind (feat. Vargas & Lagola),Avicii,51,False,0.624,110.003,0.278,0.461,0.11,6.97e-06,-8.034,0,0.0298,180000,4,TIM,2019
0vrmHPfoBadXVr2n0m1aqZ,Heaven,Avicii,68,False,0.873,122.011,0.516,0.592,0.0715,0.00982,-5.65,1,0.0275,277262,9,TIM,2019
