id,name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,instrumentalness,loudness,mode,speechiness,duration_ms,key,album_name,year
77dMSg2VHi2wwXjXNrmcrZ,Nena Maldición (feat. Lenny Tavárez),Paulo Londra,78,False,0.531,118.96,0.367,0.566,0.192,0,-6.635,1,0.0716,227518,6,Homerun,2019
4DDrWnqgD1IdMvbpJXdoO9,Dímelo,Paulo Londra,62,False,0.652,135.015,0.442,0.847,0.0752,0,-6.79,1,0.224,212516,2,Homerun,2019
3krzcyMKlRXjVkJFZqMN4t,Chica Paranormal,Paulo Londra,73,False,0.61,139.948,0.699,0.86,0.0605,0,-5.93,0,0.0819,221084,6,Homerun,2019
5Kr3a1wbMDSxdgDZzJhxhy,Sigan Hablando de Mi,Paulo Londra,57,False,0.535,94.956,0.397,0.884,0.0778,6.3e-06,-5.064,1,0.112,160875,7,Homerun,2019
3jRl9iaoq6BmkkDbFmndpi,Hyperion,Gesaffelstein,30,False,0.877,129.214,0.0764,0.636,0.0812,0.9,-12.505,1,0.0397,173080,1,Hyperion,2019
3mKuX3jnciGRXRHrV6O3rJ,Reset,Gesaffelstein,34,False,0.418,94.5,0.241,0.735,0.0577,0.222,-13.27,1,0.296,205440,7,Hyperion,2019
2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),Gesaffelstein,85,True,0.671,100.966,0.166,0.658,0.0933,0.000927,-12.21,1,0.0363,202093,2,Hyperion,2019
3tw38CkaOgncThUwXO80NO,Ever Now,Gesaffelstein,52,False,0.373,107.995,0.0372,0.658,0.197,0.89,-12.473,1,0.0399,98067,1,Hyperion,2019
5H0kIgpWNZm9HF6VkU4dow,Blast Off (feat. Pharrell Williams),Gesaffelstein,42,False,0.498,99.978,0.138,0.628,0.241,0.027,-12.803,1,0.0522,235200,6,Hyperion,2019
2qre5YuCk0fuKw0Z60E28W,So Bad (feat. HAIM),Gesaffelstein,43,False,0.348,91.975,0.0315,0.264,0.106,0.213,-16.3,0,0.0637,216560,5,Hyperion,2019
61aw1V0KLPD4XIjqNsGqo9,Forever (feat. The Hacker & Electric Youth),Gesaffelstein,42,False,0.426,117.985,0.139,0.652,0.00453,0.033,-12.596,0,0.0309,271733,9,Hyperion,2019
0qtEDu0RYKlSN13TS0c0Uk,Vortex,Gesaffelstein,32,False,0.715,184.014,0.448,0.663,0.0971,0.945,-12.426,1,0.123,157373,1,Hyperion,2019
2PAwc7JR6ASO6BFuT5jMJE,Memora,Gesaffelstein,35,False,0.494,99.045,0.0393,0.624,0.199,0.808,-12.832,0,0.0321,217107,11,Hyperion,2019
3pbjoXy4W5Tnh9KVRfSalE,Humanity Gone,Gesaffelstein,34,False,0.306,84.127,0.037,0.131,0.0706,0.762,-15.049,0,0.0357,642187,4,Hyperion,2019
51RN0kzWd7xeR4th5HsEtW,IGOR'S THEME,"Tyler, The Creator",69,False,0.672,163.1,0.0648,0.467,0.00559,0.243,-7.371,0,0.377,200693,10,IGOR,2019
5hVghJ4KaYES3BFUATCYn0,EARFQUAKE,"Tyler, The Creator",82,True,0.498,79.635,0.413,0.554,0.23,5.98e-06,-8.866,1,0.0685,190067,9,IGOR,2019
4f8Mh5wuWHOsfXtzjrJB3t,I THINK,"Tyler, The Creator",74,True,0.579,121.075,0.431,0.826,0.00881,0,-8.241,0,0.0801,212013,8,IGOR,2019
5e4LIAQI0bClLazNf2gZV0,EXACTLY WHAT YOU RUN FROM YOU END UP CHASING,"Tyler, The Creator",9,False,0.478,0,0,0,0.927,0,-16.569,0,0,14627,11,IGOR,2019
5QvBXUm5MglLJ3iBfTX2Wo,RUNNING OUT OF TIME,"Tyler, The Creator",76,True,0.391,84.281,0.162,0.36,0.296,0.000406,-10.6,1,0.0528,177227,6,IGOR,2019
0fv2KH6hac06J86hBUTcSf,NEW MAGIC WAND,"Tyler, The Creator",83,True,0.73,139.566,0.464,0.621,0.0967,0.000131,-5.414,0,0.107,195320,5,IGOR,2019
1nXZnTALNXiPlvXotqHm66,A BOY IS A GUN*,"Tyler, The Creator",72,True,0.689,79.568,0.505,0.417,0.575,0,-8.302,0,0.178,210253,2,IGOR,2019
0wEC0GNF74lAqrEFZJMl1m,PUPPET,"Tyler, The Creator",69,True,0.557,77.572,0.199,0.508,0.00235,0.0134,-8.967,0,0.0478,179013,8,IGOR,2019
6bOkaEXc5CopinGazSLokx,WHAT'S GOOD,"Tyler, The Creator",67,True,0.909,118.227,0.449,0.458,0.0567,4.26e-06,-6.553,1,0.487,205627,1,IGOR,2019
1hz7SRTGUNAtIQ46qiNv2p,"GONE, GONE / THANK YOU","Tyler, The Creator",78,True,0.492,78.848,0.471,0.518,0.216,0.0012,-8.436,0,0.193,375387,10,IGOR,2019
5A0M6B0RBSXSNWv0wcppZ9,I DON'T LOVE YOU ANYMORE,"Tyler, The Creator",67,True,0.522,142.952,0.584,0.638,0.352,0.0663,-9.814,1,0.0932,161200,8,IGOR,2019
5TxRUOsGeWeRl3xOML59Ai,ARE WE STILL FRIENDS?,"Tyler, The Creator",82,True,0.497,187.308,0.313,0.216,0.128,2.39e-06,-8.025,1,0.0371,265480,10,IGOR,2019
62zOmWi2NvlzQNWP55PPrt,Magnets (feat. Sophie Simmons),Sam Feldt,23,True,0.802,121.991,0.434,0.731,0.022,0,-4.763,1,0.0623,179016,5,Magnets EP,2019
1hZxdv0GKiyH1MzdQWskLY,Hide & Seek (feat. Joe Housley),Sam Feldt,18,False,0.475,119.984,0.685,0.823,0.319,0,-7.582,0,0.0979,163250,1,Magnets EP,2019
6ZT3p9zaO17gyTW6T5UTDW,Lose My Colours (feat. Sam Martin),Sam Feldt,27,False,0.851,107.994,0.194,0.574,0.0209,0,-4.748,1,0.036,210000,5,Magnets EP,2019
3l1dBDNdlmA6X4q8j7B3t8,One Day (feat. ROZES),Sam Feldt,21,False,0.858,122.082,0.332,0.668,0.181,0,-4.048,1,0.0431,147541,8,Magnets EP,2019
0qc4QlcCxVTGyShurEv1UU,Post Malone (feat. RANI),Sam Feldt,68,False,0.642,107.356,0.651,0.59,0.0771,0,-3.87,1,0.122,174444,7,Magnets EP,2019
1KixkQVDUHggZMU9dUobgm,My Head & My Heart,Ava Max,79,False,0.934,116.001,0.436,0.614,0.0697,0,-3.709,0,0.07,174760,9,Heaven & Hell,2019
2Gz6CxFe1GGiRRb8zFJHRv,H.E.A.V.E.N,Ava Max,48,False,0.643,119.971,0.621,0.592,0.296,0.0801,-6.928,0,0.0505,106184,9,Heaven & Hell,2019
7a53HqqArd4b9NF4XAmlbI,Kings & Queens,Ava Max,82,False,0.69,129.857,0.457,0.637,0.00786,0,-4.057,0,0.0405,162399,1,Heaven & Hell,2019
4gPUnZW8IT1mmF9aj9NLF7,Naked,Ava Max,52,False,0.641,111.955,0.695,0.683,0.0582,0,-4.092,0,0.0329,222094,3,Heaven & Hell,2019
57jayqtClHRLIQ3mAFjvgZ,Tattoo,Ava Max,50,False,0.637,114.994,0.793,0.64,0.129,0,-5.228,1,0.0322,159460,6,Heaven & Hell,2019
11OPriDpmUrTMTji52ta17,OMG What's Happening,Ava Max,58,False,0.854,124.042,0.931,0.698,0.101,0,-3.84,0,0.0451,179832,9,Heaven & Hell,2019
3p866VcBbuggDPXJLuc9hr,Call Me Tonight,Ava Max,51,False,0.699,115.0,0.865,0.775,0.109,0,-4.273,0,0.0421,170952,3,Heaven & Hell,2019
1iatZzgryaJh79PNFq2bi8,Born to the Night,Ava Max,49,False,0.698,139.985,0.406,0.59,0.0352,0,-5.891,1,0.0372,199331,9,Heaven & Hell,2019
