id,name,artist,popularity,explicit,energy,tempo,positiveness,danceability,acousticness,instrumentalness,loudness,mode,speechiness,duration_ms,key,album_name,year
6I0Jucv2KfH32lNp1Acana,Till im Gone (feat. Kodak Black),Flipp Dinero,43,True,0.724,177.914,0.255,0.635,0.183,0,-3.229,1,0.366,226069,6,LOVE FOR GUALA,2019
6lg0Md3xQ7U5EYAcsnysiv,Butterfly Effect,DJ Snake,40,False,0.644,149.822,0.0387,0.224,0.00407,0.252,-7.276,0,0.0386,204800,5,Carte Blanche,2019
3xBEwwc1zwGpOFtkp5HVkB,Quiet Storm (with Zomboy),DJ Snake,46,False,0.985,150.069,0.358,0.562,0.00124,0.846,-1.869,1,0.0716,225600,1,Carte Blanche,2019
0pSL76Z9uhRAfFd09VmF24,When The Lights Go Down,DJ Snake,40,False,0.952,159.996,0.59,0.595,0.0269,0.671,-1.892,0,0.042,231037,5,Carte Blanche,2019
2zzwSQ5xhBsZ5FoYv4IS82,Recognize (feat. Majid Jordan),DJ Snake,38,False,0.681,113.966,0.431,0.735,0.244,0.000517,-7.655,1,0.0947,214737,8,Carte Blanche,2019
1j4MPw77pRZ77fMBuaRCZl,No More (feat. ZHU),DJ Snake,50,True,0.716,120.046,0.563,0.809,0.0175,0.00102,-8.434,0,0.0459,166000,4,Carte Blanche,2019
0E3L4BNuUlZyvcZyySTfKr,"Made In France (with Tchami & Malaa, feat. Mercer)",DJ Snake,51,False,0.949,126.007,0.506,0.836,0.00295,0.247,-4.127,0,0.0786,251429,11,Carte Blanche,2019
5w8wL9IpVlOerzOzOvkjvG,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",DJ Snake,54,True,0.726,119.963,0.181,0.785,0.0739,4.01e-06,-4.209,1,0.0387,248053,2,Carte Blanche,2019
0qczhh8fOxKyXqnaKouJyZ,Smile (feat. Bryson Tiller),DJ Snake,41,True,0.82,160.055,0.538,0.402,0.142,0,-1.887,0,0.113,198303,5,Carte Blanche,2019
5vTtANNlQK5UhwfooDek5y,Try Me (with Plastic Toy),DJ Snake,49,False,0.703,102.289,0.193,0.68,0.839,0.0218,-3.36,0,0.0439,198405,7,Carte Blanche,2019
6osaMSJh9NguagEDQcZaKx,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,77,False,0.758,192.091,0.371,0.694,0.278,1.34e-06,-2.986,1,0.218,185195,11,Carte Blanche,2019
0KoiMHhqKLoL4xM54rcWYY,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,75,True,0.801,95.881,0.617,0.842,0.157,4.82e-06,-4.167,0,0.228,212500,8,Carte Blanche,2019
660eekzsNZ7sdATvfIsAkR,"Fuego (with Sean Paul & Anitta, feat. Tainy)",DJ Snake,60,False,0.859,104.906,0.612,0.819,0.0244,0,-6.264,1,0.224,195429,8,Carte Blanche,2019
3dsyqPDiWYYilRZNBxgxHE,Magenta Riddim,DJ Snake,65,False,0.892,102.047,0.57,0.602,0.000393,0.813,-3.66,0,0.0672,194490,10,Carte Blanche,2019
3SSzqNGH8gRHBXohGx7BcV,Frequency 75,DJ Snake,45,False,0.774,108.023,0.125,0.664,0.0039,0.449,-8.961,1,0.122,266667,1,Carte Blanche,2019
3qgtGhoCutbBX73cd6ArCW,SouthSide (feat. Eptic),DJ Snake,45,False,0.94,149.959,0.555,0.571,0.0114,0.0128,-3.637,1,0.0883,252800,1,Carte Blanche,2019
4lDYedHtcFwkMTVwpdSRUN,No Option (feat. Burna Boy),DJ Snake,44,True,0.877,150.162,0.876,0.631,0.00837,1.09e-05,-4.072,0,0.0345,185600,5,Carte Blanche,2019
5gjsW5lwLen4vTq2kGNoAX,Paris (feat. GASHI),DJ Snake,44,False,0.624,128.045,0.231,0.621,0.226,0,-6.745,0,0.0374,225000,10,Carte Blanche,2019
26t0xoYPRxyHvIN62P85au,Lost Files,Polo G,57,True,0.723,145.067,0.397,0.809,0.335,0,-6.145,1,0.352,120907,1,Die A Legend,2019
2bGEPdcL80FFHQ3VxcYBJQ,Dyin Breed,Polo G,62,True,0.599,159.966,0.427,0.77,0.0131,0,-8.663,0,0.661,179773,2,Die A Legend,2019
3NqCEpT8xsHdzpiRlM1kpS,Through Da Storm,Polo G,74,True,0.49,74.351,0.621,0.71,0.128,0,-9.832,1,0.246,195587,1,Die A Legend,2019
2fyy1r6XBbsiSSpKK20LKX,Effortless,Polo G,58,True,0.445,157.153,0.399,0.792,0.00256,0,-7.871,0,0.544,171467,10,Die A Legend,2019
6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),Polo G,80,True,0.639,168.112,0.261,0.772,0.15,0,-7.119,1,0.467,166560,1,Die A Legend,2019
7caP3UAf8ZtIMVpWfEIA4H,Battle Cry,Polo G,58,True,0.597,150.089,0.347,0.754,0.212,0,-7.809,1,0.38,192080,7,Die A Legend,2019
4iIfKs9XOb9D2NJnPctPns,BST,Polo G,57,True,0.603,143.043,0.633,0.876,0.0188,0,-9.148,0,0.28,202680,5,Die A Legend,2019
7oBW80497A8axagr4aC9U6,Finer Things,Polo G,68,True,0.45,177.978,0.131,0.506,0.0683,0.000225,-12.565,1,0.364,182387,2,Die A Legend,2019
00TYv5NLZkKXq5KJZ6LMDt,Picture This,Polo G,56,True,0.604,87.955,0.406,0.831,0.0316,0,-6.741,1,0.273,165720,0,Die A Legend,2019
40QrLHWdsxyXLAdjJG4Rxs,Chosen 1,Polo G,76,True,0.576,166.162,0.364,0.77,0.138,0,-11.845,0,0.339,127200,8,Die A Legend,2019
1EXgignL7eG2MHErBEAD5d,Deep Wounds,Polo G,63,True,0.572,159.961,0.339,0.661,0.0149,0,-7.101,1,0.338,180293,1,Die A Legend,2019
1w8XCWRzLN75HARAqNQIRY,Last Strike,Polo G,53,True,0.594,81.539,0.477,0.579,0.0249,0,-8.461,1,0.468,197320,2,Die A Legend,2019
1g4zEL3uOnhwvnMEOVAbNM,A King's Nightmare,Polo G,50,True,0.728,81.193,0.321,0.463,0.156,0,-7.994,0,0.353,167453,1,Die A Legend,2019
2VIMXmWUIqhMqg6h5FOFPG,Pop Out Again (feat. Lil Baby & Gunna),Polo G,60,True,0.689,83.964,0.364,0.862,0.118,0,-5.68,1,0.323,223787,1,Die A Legend,2019
5PbAxxkcKnbkdozI7ZvFgZ,Tick Tock (with Clean Bandit ft. 24kGoldn),Clean Bandit,0,False,0.704,101.022,0.95,0.778,0.385,1.29e-05,-3.903,1,0.0338,178200,0,High Expectations,2019
1rzHuxpjVx8FHy93ep8Aba,West Ten (with AJ Tracey),AJ Tracey,0,True,0.823,129.986,0.867,0.843,0.318,0,-4.904,0,0.0571,213693,10,High Expectations,2019
2JYigZkT6rMUDAIFLrxaNg,High Expectations - Intro,Mabel,26,False,0.371,64.894,0.1,0.186,0.335,0,-9.104,1,0.0346,87560,11,High Expectations,2019
3f7kagozH424YCJRd7UR0x,Bad Behaviour,Mabel,43,False,0.806,106.999,0.41,0.79,0.00479,2.27e-06,-4.342,1,0.0411,205880,0,High Expectations,2019
5Xc9L411IGVexidbaF7CHG,Don't Call Me Up,Mabel,39,False,0.872,98.891,0.261,0.684,0.31,3.18e-06,-2.85,1,0.124,178493,9,High Expectations,2019
